Field,Value
Vendor,Maersk Line Direct
Route,Mundra → Copenhagen
Commodity,Specialty Rice (Bagged)
Container Type,20' Dry
Container Count,3
Rate per Container,"INR 2,13,000"
Rate per Ton (calculated),"INR 21,300"
Currency,INR
Rate Validity,90 days from 16 Sep 2026
Ocean Freight (per container),"INR 1,68,000"
BAF (per container),"INR 18,000"
THC Origin (per container),"INR 11,000"
THC Destination (per container),"INR 12,000"
Documentation (per container),"INR 4,000"
BL+ISPS (per container),Included
Vessel Name,MV Maersk Sentinel
Vessel DWT,"62,000"
Vessel Flag,Denmark
Laycan Start,15/10/2026
Laycan End,22/10/2026
Transit Time,19-21 days (direct)
Load Rate,"9,000 MT/day"
Discharge Rate,"7,000 MT/day"
Free Days,21
Demurrage Rate,"USD 20,000 PDPR"
Dispatch Rate,"USD 10,000/day"
Laytime Allowance,72 hours
NOR Clause,"WIBON/WIPON, tender at anchorage"
Payment Terms,30 days from BL date
Volume Discount,5% if >10 containers/quarter
Fumigation Certificate,Yes
Phytosanitary Certificate,Yes
Hold Cleanliness,"Grain clean, fumigated"
Stowage Factor,1.4 m³/MT
